,word 1,word 2,frequency,2008-07-31 00:00:00 - 2012-10-09 16:00:00,2012-10-09 16:00:00 - 2016-12-19 08:00:00,2016-12-19 08:00:00 - 2021-02-28 00:00:00
188,selection,area,6,0,6,0
189,error,log,6,0,6,0
190,next,activity,6,0,6,0
191,edit,text,6,0,6,0
192,revenue,circle,6,0,6,0
193,sum,insured,6,0,6,0
194,team,services,6,0,6,0
195,tor,service,6,0,6,0
196,input,text,6,0,6,0
197,same,table,6,5,0,1
198,login,screen,6,5,0,1
199,java,application,6,4,1,1
200,blog,post,6,3,2,1
201,same,form,6,3,2,1
202,column,name,6,3,2,1
203,only,problem,6,2,3,1
204,java,code,6,2,3,1
205,php,code,6,2,3,1
206,image,file,6,1,4,1
207,own,thread,6,1,4,1
208,below,error,6,1,4,1
209,jupyter,notebook,6,0,5,1
210,other,people,6,4,0,2
211,const,char,6,4,0,2
212,user,information,6,4,0,2
213,query,string,6,3,1,2
214,memory,leak,6,3,1,2
215,project,structure,6,3,1,2
216,radio,button,6,2,2,2
217,code,example,6,2,2,2
218,file,size,6,2,2,2
219,different,values,6,2,2,2
220,ajax,call,6,2,2,2
221,new,data,6,1,3,2
222,data,file,6,1,3,2
223,google,cloud,6,0,4,2
224,back,button,6,3,0,3
225,code,sample,6,1,2,3
226,screen,size,6,2,0,4
227,few,days,6,1,1,4
228,first,page,6,1,1,4
229,parent,component,6,0,2,4
230,login,form,6,0,2,4
231,new,tab,6,0,2,4
232,list,comprehension,6,0,2,4
233,white,space,6,1,0,5
234,object,store,6,0,0,6
235,dune,lee,6,0,0,6
236,lee,angles,6,0,0,6
237,data,volume,6,0,0,6
238,double,quote,6,0,0,6
239,exception,handling,5,5,0,0
240,root,view,5,5,0,0
241,form,elements,5,5,0,0
242,temp,directory,5,5,0,0
243,ui,thread,5,5,0,0
244,custom,attribute,5,5,0,0
245,c++,app,5,5,0,0
246,net,mvc,5,5,0,0
247,second,example,5,4,1,0
248,main,thread,5,4,1,0
249,full,path,5,4,1,0
250,json,string,5,3,2,0
251,version,number,5,3,2,0
252,.aspx,page,5,3,2,0
253,user,control,5,3,2,0
254,utc,time,5,3,2,0
255,same,way,5,3,2,0
256,sql,statement,5,3,2,0
257,php,script,5,3,2,0
258,android,device,5,2,3,0
259,html,table,5,2,3,0
260,current,version,5,2,3,0
261,large,amount,5,2,3,0
262,json,array,5,1,4,0
263,windows,form,5,1,4,0
264,single,file,5,1,4,0
265,so,question,5,1,4,0
266,blog,posts,5,1,4,0
267,ios,app,5,1,4,0
268,select,option,5,1,4,0
269,environment,variables,5,1,4,0
270,class,name,5,1,4,0
271,view,models,5,0,5,0
272,column,data,5,0,5,0
273,end,date,5,0,5,0
274,testing,server,5,0,5,0
275,combo,box,5,0,5,0
276,thread,pool,5,0,5,0
277,form,fields,5,4,0,1
278,best,approach,5,4,0,1
279,iis,express,5,4,0,1
280,new,instance,5,3,1,1
281,full,screen,5,3,1,1
282,many,items,5,3,1,1
283,little,bit,5,3,1,1
284,command,prompt,5,3,1,1
285,mobile,app,5,3,1,1
286,new,image,5,3,1,1
287,select,statement,5,3,1,1
288,absolute,path,5,2,2,1
289,google,app,5,2,2,1
290,django,admin,5,2,2,1
291,zip,file,5,1,3,1
292,java,file,5,1,3,1
293,first,value,5,1,3,1
294,service,class,5,1,3,1
295,null,value,5,1,3,1
296,search,bar,5,0,4,1
297,main,function,5,0,4,1
298,specific,column,5,0,4,1
299,root,directory,5,0,4,1
300,new,user,5,3,0,2
301,browser,window,5,3,0,2
302,same,file,5,3,0,2
303,foreign,keys,5,3,0,2
304,right,side,5,3,0,2
305,more,time,5,2,1,2
306,google,chrome,5,2,1,2
307,database,table,5,2,1,2
308,star,rating,5,2,1,2
309,function,call,5,1,2,2
310,simple,code,5,1,2,2
311,best,practice,5,1,2,2
312,first,one,5,0,3,2
313,cell,value,5,0,3,2
314,new,york,5,0,3,2
315,end,time,5,0,3,2
316,last,name,5,0,3,2
317,database,server,5,2,0,3
318,wrong,way,5,2,0,3
319,line,numbers,5,1,1,3
320,table,name,5,1,1,3
321,first,problem,5,1,1,3
322,jar,file,5,1,1,3
323,active,class,5,1,1,3
324,error,page,5,1,1,3
325,html,tags,5,1,1,3
326,react,component,5,0,2,3
327,bar,chart,5,0,2,3
328,boot,application,5,0,2,3
329,page,object,5,0,2,3
330,same,server,5,1,0,4
331,new,server,5,1,0,4
332,job,description,5,1,0,4
333,media,queries,5,0,1,4
334,ec2,instance,5,0,1,4
335,get,request,5,0,1,4
336,react,app,5,0,1,4
337,parent,class,5,0,1,4
338,vs,code,5,0,0,5
339,private,routes,5,0,0,5
340,package.json,file,5,0,0,5
341,relevant,code,5,0,0,5
342,pandas,dataframe,5,0,0,5
343,group,component,5,0,0,5
344,discord,bot,5,0,0,5
345,vector,container,5,0,0,5
346,sprint,board,5,0,0,5
347,green,screen,5,0,0,5
348,old,files,4,4,0,0
349,new,files,4,4,0,0
350,java,project,4,4,0,0
351,show,view,4,4,0,0
352,javascript,object,4,4,0,0
353,same,functionality,4,4,0,0
354,instance,variable,4,4,0,0
355,host,pointer,4,4,0,0
356,mylyn,commons,4,4,0,0
357,commons,ui,4,4,0,0
358,contact,information,4,4,0,0
359,opera,mini,4,4,0,0
360,current,user,4,4,0,0
361,test,method,4,4,0,0
362,web,users,4,4,0,0
363,error,notice,4,4,0,0
364,mime,type,4,4,0,0
365,purchase,note,4,4,0,0
366,worker,thread,4,4,0,0
367,event,message,4,4,0,0
368,custom,security,4,4,0,0
369,security,manager,4,4,0,0
370,private,fields,4,4,0,0
371,partial,download,4,4,0,0
372,session,data,4,4,0,0
373,small,amount,4,3,1,0
374,main,query,4,3,1,0
375,production,server,4,3,1,0
376,source,file,4,3,1,0
377,web,applications,4,3,1,0
378,new,object,4,3,1,0
379,debug,mode,4,3,1,0
380,different,objects,4,3,1,0
381,regular,expressions,4,3,1,0
382,few,times,4,3,1,0
383,screen,width,4,3,1,0
384,project,files,4,3,1,0
385,select,element,4,3,1,0
386,screen,shot,4,3,1,0
387,similar,problem,4,2,2,0
388,single,line,4,2,2,0
389,package,name,4,2,2,0
390,start,date,4,2,2,0
391,next,time,4,2,2,0
392,first,array,4,2,2,0
393,bat,file,4,2,2,0
394,function,name,4,2,2,0
395,fast,way,4,1,3,0
396,last,occurrence,4,1,3,0
397,line,chart,4,1,3,0
398,request,headers,4,1,3,0
399,check,boxes,4,1,3,0
400,page,number,4,1,3,0
401,local,table,4,1,3,0
402,data,table,4,1,3,0
403,default,language,4,1,3,0
404,html,template,4,1,3,0
405,mvc,controller,4,1,3,0
406,console,application,4,1,3,0
407,development,environment,4,1,3,0
408,production,environment,4,1,3,0
409,sub,category,4,1,3,0
410,application,user,4,1,3,0
411,time,period,4,0,4,0
412,ffmpeg,version,4,0,4,0
413,maps,api,4,0,4,0
414,custom,table,4,0,4,0
415,view,cell,4,0,4,0
416,card,reader,4,0,4,0
417,card,number,4,0,4,0
418,new,table,4,0,4,0
419,template,class,4,0,4,0
420,parent,app,4,0,4,0
421,mean,value,4,0,4,0
422,jersey,client,4,0,4,0
423,form,tag,4,0,4,0
424,upload,api,4,0,4,0
425,switch,statement,4,0,4,0
426,native,library,4,0,4,0
427,session,factory,4,0,4,0
428,database,context,4,0,4,0
429,current,store,4,0,4,0
430,email,account,4,3,0,1
431,push,notification,4,3,0,1
432,aspect,ratio,4,3,0,1
433,third,party,4,3,0,1
434,first,example,4,3,0,1
435,specific,location,4,3,0,1
436,3rd,party,4,3,0,1
437,load,data,4,3,0,1
438,other,user,4,3,0,1
439,ios,application,4,3,0,1
440,php,page,4,3,0,1
441,second,tab,4,3,0,1
442,#,code,4,3,0,1
443,member,function,4,2,1,1
444,new,list,4,2,1,1
445,main,activity,4,2,1,1
446,large,number,4,2,1,1
447,web,project,4,2,1,1
448,detail,view,4,2,1,1
449,open,source,4,2,1,1
450,object,reference,4,2,1,1
451,simple,question,4,2,1,1
452,public,class,4,2,1,1
453,same,user,4,2,1,1
454,second,option,4,2,1,1
455,new,view,4,2,1,1
456,above,example,4,1,2,1
457,excel,workbook,4,1,2,1
458,following,result,4,1,2,1
459,new,values,4,1,2,1
460,same,output,4,1,2,1
461,internal,server,4,1,2,1
462,property,value,4,1,2,1
463,other,solution,4,1,2,1
464,object,object,4,1,2,1
465,old,code,4,1,2,1
466,many,relationship,4,1,2,1
467,specific,user,4,1,2,1
468,final,result,4,1,2,1
469,small,problem,4,1,2,1
470,chrome,browser,4,1,2,1
471,right,place,4,1,2,1
472,cross,validation,4,1,2,1
473,run,time,4,0,3,1
474,other,parts,4,0,3,1
475,rest,service,4,0,3,1
476,method,call,4,0,3,1
477,elegant,way,4,0,3,1
478,resource,server,4,0,3,1
479,generic,way,4,0,3,1
480,compile,time,4,0,3,1
481,other,ways,4,0,3,1
482,column,names,4,0,3,1
483,final,output,4,2,0,2
484,different,things,4,2,0,2
485,android,sdk,4,2,0,2
486,different,users,4,2,0,2
487,local,machine,4,2,0,2
488,database,connection,4,2,0,2
489,data,source,4,2,0,2
490,developer,tools,4,2,0,2
491,console,output,4,2,0,2
492,same,amount,4,1,1,2
493,hard,time,4,1,1,2
494,input,types,4,1,1,2
495,design,pattern,4,1,1,2
496,empty,array,4,1,1,2
497,easiest,way,4,1,1,2
498,entire,page,4,1,1,2
499,windows,machine,4,1,1,2
500,empty,string,4,1,1,2
501,second,one,4,1,1,2
502,app,store,4,1,1,2
503,remote,server,4,1,1,2
504,web,browser,4,1,1,2
505,separate,file,4,1,1,2
506,first,row,4,0,2,2
507,html,element,4,0,2,2
508,package,manager,4,0,2,2
509,google,api,4,0,2,2
510,little,help,4,0,2,2
511,entire,data,4,0,2,2
512,virtual,machine,4,0,2,2
513,component,code,4,0,2,2
514,downloaded,file,4,0,2,2
515,main,page,4,0,2,2
516,random,numbers,4,0,2,2
517,data,frames,4,0,2,2
518,first,argument,4,1,0,3
519,blank,screen,4,1,0,3
520,blob,storage,4,1,0,3
521,event,listener,4,1,0,3
522,admin,panel,4,1,0,3
523,.zip,file,4,1,0,3
524,sql,database,4,1,0,3
525,model,object,4,1,0,3
526,creation,date,4,1,0,3
527,first,frame,4,1,0,3
528,google,apps,4,1,0,3
529,time,frame,4,1,0,3
530,different,results,4,1,0,3
531,first,post,4,1,0,3
532,infinite,loop,4,1,0,3
533,first,approach,4,1,0,3
534,text,color,4,0,1,3
535,react,native,4,0,1,3
536,new,page,4,0,1,3
537,recycler,view,4,0,1,3
538,d,array,4,0,1,3
539,specific,time,4,0,1,3
540,more,info,4,0,1,3
541,child,component,4,0,1,3
542,other,users,4,0,1,3
543,simple,web,4,0,0,4
544,serverless,functions,4,0,0,4
545,current,frame,4,0,0,4
546,rss,feed,4,0,0,4
547,double,quotes,4,0,0,4
548,nuget,package,4,0,0,4
549,external,api,4,0,0,4
550,.txt,file,4,0,0,4
551,customer,finder,4,0,0,4
552,finder,component,4,0,0,4
553,qualifying,bean,4,0,0,4
554,autowire,candidate,4,0,0,4
555,dependency,annotations,4,0,0,4
556,select,query,4,0,0,4
557,big,team,4,0,0,4
558,week,sprint,4,0,0,4
559,long,sprint,4,0,0,4
560,scroll,bar,4,0,0,4
561,kafka,tool,4,0,0,4
562,cactus,picture,4,0,0,4
563,licence,apk,4,0,0,4
564,direct,query,4,0,0,4
565,time,stamp,4,0,0,4
566,src,folder,4,0,0,4
567,secret,mypassword,4,0,0,4
568,nasa,guidelines,4,0,0,4
569,laravel,application,4,0,0,4
570,mild,juicy,4,0,0,4
571,sql,error,4,0,0,4
572,new,prcnumber,4,0,0,4
573,smart,way,3,3,0,0
574,new,one,3,3,0,0
575,new,viewmodel,3,3,0,0
576,sql,update,3,3,0,0
577,flat,file,3,3,0,0
578,form,values,3,3,0,0
579,cascade,file,3,3,0,0
580,testing,purposes,3,3,0,0
581,strange,thing,3,3,0,0
582,eclipse,juno,3,3,0,0
583,request,object,3,3,0,0
584,glow,effect,3,3,0,0
585,new,lists,3,3,0,0
586,party,library,3,3,0,0
587,user,experience,3,3,0,0
588,xlink,namespace,3,3,0,0
589,ipad,app,3,3,0,0
590,directory,logs,3,3,0,0
591,web,services,3,3,0,0
592,same,query,3,3,0,0
593,webview,memory,3,3,0,0
594,application,context,3,3,0,0
595,application,server,3,3,0,0
596,system,prints,3,3,0,0
597,step,definitions,3,3,0,0
598,data,model,3,3,0,0
599,first,method,3,3,0,0
600,second,method,3,3,0,0
601,background,task,3,3,0,0
602,network,cable,3,3,0,0
603,table,a,3,3,0,0
604,class,type,3,3,0,0
605,style,information,3,3,0,0
606,pseudo,code,3,3,0,0
607,previous,versions,3,3,0,0
608,section,planes,3,3,0,0
609,opensplice,dds,3,3,0,0
610,database,transaction,3,3,0,0
611,css,files,3,3,0,0
612,application,pool,3,3,0,0
613,following,expression,3,3,0,0
614,extended,object,3,3,0,0
615,action,string,3,3,0,0
616,multi,cell,3,3,0,0
617,inventory,data,3,3,0,0
618,live,click,3,3,0,0
619,child,processes,3,3,0,0
620,texture,size,3,3,0,0
621,user,details,3,3,0,0
622,dao,class,3,3,0,0
623,sub,radio,3,3,0,0
624,static,library,3,3,0,0
625,note,field,3,3,0,0
626,edit,user,3,3,0,0
627,message,dll,3,3,0,0
628,webcenter,sites,3,3,0,0
629,unicode,strings,3,3,0,0
630,telerik,assemblies,3,3,0,0
631,build,server,3,3,0,0
632,mock,bean,3,3,0,0
633,batch,process,3,2,1,0
634,android,documentation,3,2,1,0
635,starting,point,3,2,1,0
636,js,code,3,2,1,0
637,same,url,3,2,1,0
638,other,option,3,2,1,0
639,web,pages,3,2,1,0
640,jquery,code,3,2,1,0
641,first,occurrence,3,2,1,0
642,credit,card,3,2,1,0
643,jquery,ui,3,2,1,0
644,data,store,3,2,1,0
645,small,code,3,2,1,0
646,first,element,3,2,1,0
647,canvas,image,3,2,1,0
648,detail,page,3,2,1,0
649,following,code,3,2,1,0
650,google,analytics,3,2,1,0
651,many,examples,3,2,1,0
652,other,browsers,3,2,1,0
653,maximum,number,3,2,1,0
654,other,posts,3,2,1,0
655,different,approaches,3,2,1,0
656,back,end,3,2,1,0
657,possible,solutions,3,2,1,0
658,windows,system,3,2,1,0
659,more,information,3,2,1,0
660,own,class,3,2,1,0
661,javascript,code,3,2,1,0
662,file,copy,3,2,1,0
663,index,page,3,1,2,0
664,main,class,3,1,2,0
665,other,method,3,1,2,0
666,check,box,3,1,2,0
667,jsp,page,3,1,2,0
668,temp,files,3,1,2,0
669,new,way,3,1,2,0
670,same,value,3,1,2,0
671,crash,log,3,1,2,0
672,virtual,device,3,1,2,0
673,mac,address,3,1,2,0
674,few,hours,3,1,2,0
675,parent,entity,3,1,2,0
676,image,upload,3,1,2,0
677,table,structure,3,1,2,0
678,jquery,validation,3,1,2,0
679,server,data,3,1,2,0
680,new,requirement,3,1,2,0
681,external,libraries,3,1,2,0
682,same,operation,3,1,2,0
683,tree,navigation,3,1,2,0
684,new,row,3,1,2,0
685,file,download,3,1,2,0
686,java,program,3,1,2,0
687,real,world,3,1,2,0
688,search,box,3,1,2,0
689,client,ip,3,1,2,0
690,right,path,3,1,2,0
691,different,value,3,1,2,0
692,3rd,line,3,1,2,0
693,active,directory,3,1,2,0
694,horizontal,scrollbar,3,1,2,0
695,full,access,3,1,2,0
696,message,box,3,1,2,0
697,half,way,3,1,2,0
698,folder,structure,3,1,2,0
699,first,attempt,3,1,2,0
700,mobile,phone,3,1,2,0
701,test,result,3,1,2,0
702,file,content,3,1,2,0
703,more,lines,3,1,2,0
704,actual,problem,3,1,2,0
705,css,file,3,1,2,0
706,bayesian,network,3,1,2,0
707,select,value,3,0,3,0
708,custom,selection,3,0,3,0
709,following,function,3,0,3,0
710,release,definition,3,0,3,0
711,switch,case,3,0,3,0
712,certain,point,3,0,3,0
713,period,value,3,0,3,0
714,google,map,3,0,3,0
715,client,name,3,0,3,0
716,real,data,3,0,3,0
717,google,chart,3,0,3,0
718,mxnet,regression,3,0,3,0
719,mean,image,3,0,3,0
720,first,letter,3,0,3,0
721,webapp,pod,3,0,3,0
722,dropdown,list,3,0,3,0
723,2nd,line,3,0,3,0
724,different,classes,3,0,3,0
725,database,record,3,0,3,0
726,query,syntax,3,0,3,0
727,error,msg,3,0,3,0
728,elastic,search,3,0,3,0
729,proxy,settings,3,0,3,0
730,jms,messages,3,0,3,0
731,jbutton,actionlistener,3,0,3,0
732,following,way,3,0,3,0
733,time,picker,3,0,3,0
734,case,method,3,0,3,0
735,date,picker,3,0,3,0
736,total,amount,3,0,3,0
737,validation,set,3,0,3,0
738,testing,set,3,0,3,0
739,custom,lint,3,0,3,0
740,jquery,datepicker,3,0,3,0
741,studio,team,3,0,3,0
742,test,agent,3,0,3,0
743,string,connection,3,0,3,0
744,string,query,3,0,3,0
745,date,column,3,0,3,0
746,activity,b,3,0,3,0
747,final,image,3,0,3,0
748,.tfmodel,file,3,0,3,0
749,text,field_1,3,0,3,0
750,text,field_2,3,0,3,0
751,generic,parameter,3,0,3,0
752,single,client,3,0,3,0
753,paragraph,object,3,0,3,0
754,same,location,3,0,3,0
755,slim,framework,3,0,3,0
756,additional,dependencies,3,0,3,0
757,github,repository,3,0,3,0
758,8am,data,3,0,3,0
759,service,response,3,0,3,0
760,upload,button,3,0,3,0
761,string,items,3,0,3,0
762,first,character,3,0,3,0
763,axis,value,3,0,3,0
764,output,file,3,0,3,0
765,main,model,3,0,3,0
766,same,service,3,0,3,0
767,lookup,table,3,0,3,0
768,mainmenu,scene,3,0,3,0
769,domain,controller,3,0,3,0
770,kdc.com,domain,3,0,3,0
771,api,requests,3,0,3,0
772,equality,constraints,3,0,3,0
773,hash,table,3,0,3,0
774,lock,screen,3,0,3,0
775,same,results,3,2,0,1
776,simple,program,3,2,0,1
777,third,time,3,2,0,1
778,new,content,3,2,0,1
779,specific,case,3,2,0,1
780,return,value,3,2,0,1
781,parent,object,3,2,0,1
782,only,difference,3,2,0,1
783,multiple,pages,3,2,0,1
784,model,class,3,2,0,1
785,windows,authentication,3,2,0,1
786,file,manager,3,2,0,1
787,release,version,3,2,0,1
788,efficient,algorithm,3,2,0,1
789,standard,library,3,2,0,1
790,certain,size,3,2,0,1
791,date,field,3,2,0,1
792,whole,project,3,2,0,1
793,python,api,3,2,0,1
794,easier,way,3,2,0,1
795,format,string,3,2,0,1
796,search,form,3,2,0,1
797,column,header,3,2,0,1
798,compiler,error,3,2,0,1
799,good,answer,3,2,0,1
800,class,library,3,2,0,1
801,basic,authentication,3,2,0,1
802,execution,plan,3,2,0,1
803,div,elements,3,2,0,1
804,name,field,3,2,0,1
805,view,model,3,1,1,1
806,little,experience,3,1,1,1
807,bash,script,3,1,1,1
808,same,size,3,1,1,1
809,other,fields,3,1,1,1
810,second,condition,3,1,1,1
811,user,interaction,3,1,1,1
812,same,credentials,3,1,1,1
813,old,version,3,1,1,1
814,whole,process,3,1,1,1
815,nav,bar,3,1,1,1
816,image,data,3,1,1,1
817,default,value,3,1,1,1
818,project,folder,3,1,1,1
819,big,query,3,1,1,1
820,same,type,3,1,1,1
821,new,array,3,1,1,1
822,simple,application,3,1,1,1
823,different,tables,3,1,1,1
824,second,table,3,1,1,1
825,mouse,button,3,1,1,1
826,better,results,3,1,1,1
827,web,server,3,1,1,1
828,css,selector,3,1,1,1
829,following,structure,3,1,1,1
830,css,code,3,1,1,1
831,current,solution,3,1,1,1
832,different,options,3,1,1,1
833,oracle,database,3,1,1,1
834,time,zones,3,1,1,1
835,edit,box,3,1,1,1
836,such,file,3,1,1,1
837,actual,use,3,1,1,1
838,response,code,3,1,1,1
839,multiple,users,3,1,1,1
840,good,practice,3,1,1,1
841,json,format,3,1,1,1
842,fixed,size,3,1,1,1
843,same,app,3,1,1,1
844,correct,results,3,1,1,1
845,child,components,3,0,2,1
846,kubernetes,cluster,3,0,2,1
847,task,manager,3,0,2,1
848,ajax,function,3,0,2,1
849,code,base,3,0,2,1
850,spring,security,3,0,2,1
851,user,data,3,0,2,1
852,test,data,3,0,2,1
853,error,logs,3,0,2,1
854,code,block,3,0,2,1
855,mongodb,database,3,0,2,1
856,other,languages,3,0,2,1
857,uncaught,typeerror,3,0,2,1
858,previous,question,3,0,2,1
859,js,function,3,0,2,1
860,several,hours,3,0,2,1
861,microsoft,word,3,0,2,1
862,data,attribute,3,0,2,1
863,xml,code,3,0,2,1
864,other,projects,3,0,2,1
865,local,time,3,0,2,1
866,music,player,3,0,2,1
867,cloud,storage,3,0,2,1
868,aws,ec2,3,0,2,1
869,management,system,3,0,2,1
870,api,documentation,3,0,2,1
871,new,window,3,0,2,1
872,next,part,3,0,2,1
873,middle,name,3,0,2,1
874,simplest,way,3,0,2,1
875,node,server,3,0,2,1
876,static,methods,3,1,0,2
877,error,code,3,1,0,2
878,string,variables,3,1,0,2
879,background,image,3,1,0,2
880,time,stamps,3,1,0,2
881,xml,content,3,1,0,2
882,configuration,file,3,1,0,2
883,azure,blob,3,1,0,2
884,previous,version,3,1,0,2
885,real,life,3,1,0,2
886,build,tool,3,1,0,2
887,dynamic,data,3,1,0,2
888,dev,tools,3,1,0,2
889,parent,div,3,1,0,2
890,xml,document,3,1,0,2
891,other,things,3,1,0,2
892,above,error,3,1,0,2
893,.bat,file,3,1,0,2
894,user,model,3,1,0,2
895,other,table,3,1,0,2
896,time,difference,3,1,0,2
897,javascript,file,3,1,0,2
898,actual,code,3,1,0,2
899,time,series,3,0,1,2
900,test,cases,3,0,1,2
901,jar,files,3,0,1,2
902,correct,format,3,0,1,2
903,wordpress,plugin,3,0,1,2
904,file,structure,3,0,1,2
905,models.py,file,3,0,1,2
906,total,time,3,0,1,2
907,many,posts,3,0,1,2
908,straightforward,way,3,0,1,2
909,neural,network,3,0,1,2
910,if,statement,3,0,1,2
911,python,file,3,0,1,2
912,new,version,3,0,1,2
913,next,row,3,0,1,2
914,different,time,3,0,1,2
915,strange,behavior,3,0,1,2
916,last,date,3,0,1,2
917,wrapper,class,3,0,1,2
918,left,side,3,0,1,2
919,few,things,3,0,1,2
920,download,button,3,0,1,2
