,score,creation_date,body
10,39.0,2010-03-08 11:26:25.080000+00:00,"<p>Since you can't define a <code>WndProc</code> directly in WPF, you need to obtain a <code>HwndSource</code>, and add a hook to it :</p>

<pre><code>public Window1()
{
    InitializeComponent();

    this.SourceInitialized += Window1_SourceInitialized;
}

private void Window1_SourceInitialized(object sender, EventArgs e)
{
    WindowInteropHelper helper = new WindowInteropHelper(this);
    HwndSource source = HwndSource.FromHwnd(helper.Handle);
    source.AddHook(WndProc);    
}

const int WM_SYSCOMMAND = 0x0112;
const int SC_MOVE = 0xF010;

private IntPtr WndProc(IntPtr hwnd, int msg, IntPtr wParam, IntPtr lParam,  ref bool handled)
{

   switch(msg)
   {
      case WM_SYSCOMMAND:
          int command = wParam.ToInt32() &amp; 0xfff0;
          if (command == SC_MOVE)
          {
             handled = true;
          }
          break;
      default:
          break;
   }
   return IntPtr.Zero;
}
</code></pre>"
11,3.0,2012-11-13 18:56:58.593000+00:00,"<p>To update table you can do this</p>

<pre><code>UPDATE bleaTest
SET Grade = 'No data'
WHERE Grade is null;
</code></pre>

<p>And to select</p>

<pre><code>Select ISNULL(Grade, 'No Data') Grade From bleaTest
</code></pre>"
12,25.0,2013-11-01 11:45:32.137000+00:00,"<p>There seems to be an issue with the new user agent string (most sites don’t recognize the new IE) and thus MVC doesn’t enable cookies by default </p>

<p>Force the use of cookies in the authentication token by adding the cookieless attribute in your forms authentication element as follows</p>

<pre><code>&lt;authentication mode=""Forms""&gt;
  &lt;forms loginUrl=""~/YourLoginUrl"" timeout=""2880"" cookieless=""UseCookies"" /&gt;
&lt;/authentication&gt;
</code></pre>

<p>Source: <a href=""http://botsikas.blogspot.co.uk/2013/09/ie11-and-aspnet-session-cookies.html"">http://botsikas.blogspot.co.uk/2013/09/ie11-and-aspnet-session-cookies.html</a> </p>"
13,1.0,2011-02-26 21:39:08.303000+00:00,"<p>Look at SessionManager.m in the GKRocket example in the docs. Especially the implementations of</p>

<pre><code>-(void) sendPacket:(NSData*)data ofType:(PacketType)type
</code></pre>

<p>and</p>

<pre><code>- (void) receiveData:(NSData *)data fromPeer:(NSString *)peer inSession:(GKSession *)session context:(void *)context
</code></pre>"
14,1.0,2011-11-24 14:47:50.863000+00:00,"<p>The last URI should work with 'Resource' build action. Try code from <a href=""https://stackoverflow.com/questions/8225163/icons-dont-work-after-publish/8225996#8225996"">this answer</a>.</p>"
15,0.0,2014-02-04 18:58:15.390000+00:00,"<p>Use !newstate! to get variable value, instead of  %newstate%. This is the way of getting delayed variables values. 
Keep using ""setlocal enabledelayedexpansion"".</p>"
16,15.0,2014-06-06 20:05:17.957000+00:00,"<p>Thanks.  As mentioned, tests can inject <code>console</code> for <code>$log</code> using <code>$provide</code>.  For posterity, <code>$provide</code> is not available via <code>inject(function(...) { ... })</code> but instead <a href=""http://tech.pro/tutorial/1517/supplying-mocks-for-services-via-provide"">must be injected into a function argument to <code>module</code></a>:</p>

<pre><code>beforeEach(module('myapp', function($provide) {
  // Output messages
  $provide.value('$log', console);
}));
</code></pre>"
17,0.0,2012-04-17 18:00:00.920000+00:00,"<p>Instead of DateTime.Parse() try instantiating a new DateTime.</p>

<pre><code>Session.Query&lt;Movie&gt;()
.Where(x =&gt; x.Status == ""New"" &amp;&amp; x.ReleaseDate &gt; new DateTime(2012, 4, 3))
.Dump();
</code></pre>"
18,3.0,2012-01-11 13:06:23.277000+00:00,<p>There is no <code>fork</code> system call on Windows.</p>
19,2.0,2013-11-25 07:23:04.290000+00:00,"<p>The point of the problem is that you can't pass a list to your function. Your function wants an integer value.</p>

<pre><code>&gt;&gt;&gt; fib(5)
13
</code></pre>

<p>As expected. So you should pass just a number (n) to your function to calculate fibonacci of it.</p>"
20,1.0,2012-12-11 15:15:58.067000+00:00,"<p>If you are under IE you may have hit the 31 stylesheets limitation this browser has. Add a <strong>RadStyleSheetManager</strong> to your page to combine the requests in a single file. Confirm this by testing in Firefox or Chrome as well. Also, make sure your requests are ok, your stylesheets may not be present on the page in case you are adding them dynamically and something goes wrong with your code.</p>"
21,3.0,2013-12-25 15:39:58.453000+00:00,"<p>Try to run <code>mvn validate</code> in your project root (where project <code>pom.xml</code> is located) via cmd. If succeeded, it will download all your dependencies into your local repository. Then you should search for maven repository configuration in netbeans options  and make sure that your local repository is added there.</p>"
22,1.0,2009-02-13 20:40:45.650000+00:00,"<p>IIS, by default, runs your application within the default Application Pool. On 64-bit Windows, that Application Pool is, by default, 64-bit.</p>

<p>You should create a new Application Pool, and configure IIS to run your 32-bit website in your new 32-bit Application Pool.</p>"
23,45.0,2009-07-24 21:30:21.673000+00:00,"<p>Find the vertex with smallest y (and largest x if there are ties). Let the vertex be <code>A</code> and the previous vertex in the list be <code>B</code> and the next vertex in the list be <code>C</code>. Now compute the <em>sign</em> of the cross product of <code>AB</code> and <code>AC</code>.</p>

<hr>

<p>References:</p>

<ul>
<li><p><em>How do I find the orientation of a simple polygon?</em> in 
<a href=""http://www.faqs.org/faqs/graphics/algorithms-faq/"" rel=""noreferrer"">Frequently Asked Questions: comp.graphics.algorithms</a>.</p></li>
<li><p><a href=""http://en.wikipedia.org/wiki/Curve_orientation"" rel=""noreferrer"">Curve orientation</a> at Wikipedia.</p></li>
</ul>"
24,-1.0,2010-09-29 11:24:35.387000+00:00,"<p>You don't install fonts on your website, if you want the text on your site to show up in a non-standard font every visitor has to have it on their local machine.</p>

<p>It's easiest to stick to the standard fonts, and any small amounts of text you want in a special font you have to make as images.</p>

<p>If you are still not satisfied then have a look here: <a href=""http://novemberborn.net/2006/12/sifr3beta1-110"" rel=""nofollow"">http://novemberborn.net/2006/12/sifr3beta1-110</a></p>

<p>Beware it is a mission!</p>"
25,2.0,2012-08-11 21:55:24.043000+00:00,"<p>I think you have a recursion's ring (infinite recursion), not a really stack overflow error. If you are got more memory for stack - you will get the overflow error too.</p>

<p><strong>For test it:</strong></p>

<p>Declare a global variable for storing a operable objects:</p>

<pre><code>private Dictionary&lt;int,object&gt; _operableIds = new Dictionary&lt;int,object&gt;();

...
private void Start()
{
    _operableIds.Clear();
    Recurtion(start_id);
}
...
private void Recurtion(int object_id)
{
   if(_operableIds.ContainsKey(object_id))
      throw new Exception(""Have a ring!"");
   else
     _operableIds.Add(object_id, null/*or object*/);

   ...
   Recurtion(other_id)
   ...
   _operableIds.Remove(object_id);
}
</code></pre>"
26,0.0,2011-06-28 18:13:04.520000+00:00,"<p>Take a look at the Pager example: <a href=""http://jquery.malsup.com/cycle/pager2.html"" rel=""nofollow"">http://jquery.malsup.com/cycle/pager2.html</a></p>

<p>The pager features takes the user to a specific image in the cycle, which is what you want to do.</p>

<p>However, you might only want to implement a single pager link, not a link for each image in the cycle.</p>"
27,4.0,2010-10-02 12:54:30.280000+00:00,"<p>Good question.</p>

<p>From my (somewhat limited knowledge) of the ""under-the-hood"" working of a SQL Connection, many steps are involved, such as:</p>

<p><strong>The Steps Under the Hood</strong></p>

<ol>
<li>Physical socket/pipe is opened (using given drivers, eg ODBC)</li>
<li>Handshake with SQL Server</li>
<li>Connection string/credentials negotiated</li>
<li>Transaction scoping</li>
</ol>

<p>Not to mention connection pooling, i believe there is some kind of alogrithm involved (if the connection string matches one for an already existing pool, the connection is added to the pool, otherwise new one is created)</p>

<p><strong>IDiposable</strong></p>

<p>With regards to SQL Connections, we implement IDisposable so that when we call dispose (either via the using directive, or explicity), it places the connection back into the connection pool. This is in stark contrast with just the plain old sqlConnection.Close() - as all this does is close it temporarily, but reserves that connection for later use.</p>

<p>From my understanding, .Close() closes the connection to the database, whereas .Dispose() calls .Close(), and <strong>then</strong> releases unmanaged resources.</p>

<p>Those points in mind, at the very least it is good practice to implement IDisposable.</p>"
28,14.0,2012-02-07 08:18:02.670000+00:00,"<p><code>DOMParser</code> constructor isn't defined in the context of SDK modules. You can still get it using <a href=""https://addons.mozilla.org/en-US/developers/docs/sdk/1.14/dev-guide/tutorials/chrome.html"" rel=""noreferrer"">chrome authority</a> however:</p>

<pre class=""lang-js prettyprint-override""><code>var {Cc, Ci} = require(""chrome"");
var parser = Cc[""@mozilla.org/xmlextras/domparser;1""].createInstance(Ci.nsIDOMParser);
</code></pre>

<p><a href=""https://developer.mozilla.org/en/nsIDOMParser"" rel=""noreferrer""><code>nsIDOMParser</code> documentation</a>.</p>

<p>That said, your approach with <code>XMLHttpRequest</code> should work as well. You used the <code>new</code> operator incorrectly however, the way you wrote it a new ""require object"" is being created. This way it should work however:</p>

<pre class=""lang-js prettyprint-override""><code>var {XMLHttpRequest} = require(""xhr"");
var request = new XMLHttpRequest();
</code></pre>

<p>Please consider using an asynchronous <code>XMLHttpRequest</code> object however, use <code>request.onreadystatechange</code> to attach your listener (the <code>xhr</code> module currently doesn't support other types of listeners or <code>addEventListener</code>).</p>"
29,0.0,2014-03-03 08:15:15.647000+00:00,"<p>AS Vishrant mentioned *<em>Java follows Zero indexing. So in your case question and responses array is of size 10 which means it will iterate from 0 to 9</em> *</p>

<p>in your tester class, you are trying to access 10th index in loop in 2 places</p>

<pre><code>for(int i = 1; i &lt;= 10; i++)           (1)
     {
        noArgSurvey.displayQuestionStats(i);
     }

for(int i=1; i&lt;11; i++)                 (2)
     {
        noArgSurvey.displaySurveyResults(i);
     }
</code></pre>

<p>You should to write</p>

<pre><code>for(int i = 0; i &lt; 10; i++)           (1)
     {
        noArgSurvey.displayQuestionStats(i);
     }

for(int i=0; i&lt;10; i++)               (2)
     {
        noArgSurvey.displaySurveyResults(i);
     }
</code></pre>

<p><strong>EDIT Addition</strong></p>

<pre><code>public void displaySurveyResults (int no)
{
   for (int j=0; j&lt;10; j++)
   System.out.print(""Question""+(no)+"" : "" + question[no]+""Reply"");   &lt;&lt;&lt;--------- change [no-1] to [no]  
   if (responses[respondentID][no] == 0)
   {
       System.out.print(""NO"");
</code></pre>

<p>}</p>"
30,4.0,2010-10-04 05:16:53.580000+00:00,"<p>I'm not sure if you've found much by way of google but this search bought up this page as hit 1: <a href=""http://www.oreillynet.com/xml/blog/2006/03/more_statistics_on_user_clicks.html"" rel=""nofollow"">http://www.oreillynet.com/xml/blog/2006/03/more_statistics_on_user_clicks.html</a></p>

<p>Incidentally this question is on page one of the search too :)</p>

<p>Its from 2006, but the first bit has a little about the font size settings in IE.</p>

<p>I doubt there is any documented data for this specific thing. </p>

<p>One thing I can tell you is that in over 10 years of working around computers I've seen about 1 in 10 users having a above default DPI setting. eg. 120 that caused the font size to be bigger than 16px in their browser. It also caused layouts that weren't styled properly to break.</p>"
31,2.0,2012-07-09 23:30:19.373000+00:00,"<p>EDITED several times. I think this is all you need to do:</p>

<ol>
<li><p>Find all the pieces that can only fall mutually dependent on each other and combine them into an equivalent larger piece (e.g. the <code>T</code> and backwards <code>C</code> in your picture.)</p></li>
<li><p>Iterate through all the pieces, moving them the maximum direction down before they hit something. Repeat until nothing moves.</p></li>
</ol>"
32,4.0,2012-08-22 05:22:54.100000+00:00,"<p>You have to escape the /'s in the regex code.</p>

<p>-EDIT-</p>

<p>ascii-lime also pointed out that you can change the delimiter to another non-alphanumeric character(with exceptions). To do this change the / at the start and end of the expression to the character of choice. Example:</p>

<pre><code>'/.+\/regex.com\/index.html+./'
</code></pre>

<p>to</p>

<pre><code>'!.+/regex.com/index.html+.!'
</code></pre>"
33,0.0,2012-02-17 02:58:22.920000+00:00,"<p>The simplest answers are to change your queries for your datasets so they don't return multiple rows: combine the rows in your query.</p>

<p>The really simple version of this is to just wrap your existing query for Dataset2 in an outer Select ... Group By:</p>

<p>Slightly revised Dataset2:</p>

<pre><code>SELECT
   Username,
   SUM(totalCol2) as totalCol2
FROM
(
   SELECT Count(*) AS totalCol2, Username FROM database1
   WHERE condition for this column...
   GROUP BY Username   
   UNION ALL
   SELECT Count(*) AS totalCol2, Username FROM database2
   WHERE condition for this column...
   GROUP BY Username
) AS tableA
GROUP BY Username
</code></pre>

<p>A little bigger rewrite would give you:</p>

<pre><code>SELECT
   Username,
   COUNT(*) AS totalCol2
FROM
   (SELECT UserName FROM database1
    WHERE Condition
    UNION ALL
    SELECT UserName FROM database2
    WHERE Condition
    ) AS tableA
 GROUP BY Username
</code></pre>

<p>Either of those queries above will work nicely with a lookup function.</p>

<p>But if your database1 and database2
are the same for all of the ten queries, then I would try to combine them. Maybe something like:</p>

<pre><code>SELECT
   Username,
   SUM(Col1) AS totalCol1,
   SUM(Col2) AS totalCol2,
   ...
FROM
   (SELECT
      UserName,
      CASE WHEN [columns meet condition for Col1]
       THEN 1 ELSE 0 END AS Col1,
      CASE WHEN [test for condition of Column2]
       THEN 1 ELSE 0 END AS Col2,
      ... 
    FROM database1

    UNION ALL
    SELECT
      UserName,
      CASE WHEN [columns meet condition for Col1]
       THEN 1 ELSE 0 END AS Col1,
      CASE WHEN [test for condition of Column2]
       THEN 1 ELSE 0 END AS Col2,
      ... 
    FROM database2
    ) AS tableA
 GROUP BY Username
</code></pre>"
34,10.0,2010-06-22 20:35:06.760000+00:00,"<p>In an .xcconfig file, you can have </p>

<pre><code>OTHER_CFLAGS[sdk=iphoneos*] = foobar
OTHER_CFLAGS[sdk=iphonesimulator*] = barfoo
</code></pre>

<p>Any build setting can be conditional on a number of things, for example the shortname for an sdk. The device SDKs are named iphoneos-4.0 for example, and sim iphonesimulator-4.0. The above thus gets you the 'foobar' as CFLAG for the device, and 'barfoo' for the sim.</p>

<p>To get started with xcconfigs quickly: </p>

<ol>
<li>New file > Other > Configuration Settings File</li>
<li>Open the project or target editor (cmd-alt-E for the target one)</li>
<li>Select a setting you want to customize (like cflags), and copy it with cmd-c</li>
<li>Paste in the new xcconfig file</li>
<li>Modify as above</li>
<li>In your project or target editor's lower right corner, select your xcconfig file as ""Based On"". </li>
</ol>

<p>Notice how the build settings UI now lets you edit the conditionals... You can create new conditionals with the lower left button, but it won't let you set ""iphoneos*"" for example, only specific versions.</p>

<p>Note that the magical $(inherited) lets you make a setting that inherits project settings but overrides just a part of it, like so:</p>

<pre><code>OTHER_CFLAGS[sdk=iphoneos*] = $(inherited) foobar
OTHER_CFLAGS[sdk=iphonesimulator*] = $(inherited) barfoo
</code></pre>

<p>I don't know a good resource for xcconfigs, but this'll get you started anyway: <a href=""http://robnapier.net/blog/build-system-1-build-panel-360#more-360"" rel=""noreferrer"">http://robnapier.net/blog/build-system-1-build-panel-360#more-360</a></p>"
35,0.0,2010-03-20 20:19:19.413000+00:00,"<p>I've found it helpful to work with different languages, since they each have their strengths.  Python is extremely powerful, but relies heavily on good coding conventions and practices to keep code maintainable.  In particular, it does not enforce type safety or insulation, which means it is easy to abuse.  C# is a modern object oriented language, with strong typing and other features to help enforce insulation and encapsulation.  It's not as wildly flexible, but I've also found that larger C# programs are much easier to maintain (especially when you inherit them from other developers.)</p>"
36,0.0,2011-12-02 06:11:53.267000+00:00,"<p>The Declaration for the dc_card Function should be:</p>

<pre><code>Declare Auto Function dc_card Lib ""dcrf32.dll"" (ByVal icdev As Integer, ByVal mode as Short, snr As Integer) As Short
</code></pre>

<p>You should be passing the icdev you got from the dc_init function, and the mode of 0, your information will be in the snr variable and the status will be in st.</p>

<pre><code>st = dc_card(ByVal icdev, cardmode, snr)
</code></pre>

<p>in your declares:</p>

<pre><code>Dim snr, tagtype as Integer
Dim cardmode as Short

...
</code></pre>"
37,0.0,2013-10-22 17:00:22.030000+00:00,"<p>Seems pretty straightforward to me.</p>

<pre><code>bool WasMouseLeftDown()
{
    return currentState.LeftButton == ButtonState.Pressed;
}
</code></pre>

<p>This is simply a bool that returns true if the left mouse button is being held down in the current frame.</p>

<p>I think what you really want to do is when they move the mouse while the left mouse button is down so you simply need to check both conditions:</p>

<pre><code>if (WasMouseMoved() &amp;&amp; WasMouseLeftDown())
{
    // do something
}
</code></pre>

<p>I assume you already have code to check if the mouse moved (comparing the old position to the new position).</p>"
38,0.0,2013-03-31 17:01:33.460000+00:00,<p>The proper thing to do would be to make this a stored procedure at the database and have your C# run that sproc.</p>
39,0.0,2011-08-29 15:22:31.083000+00:00,"<p>It seems it doesn't sort very well... </p>

<pre><code>[3,5,1,5,10,0,99,10,12].sort()
[0, 1, 10, 10, 12, 3, 5, 5, 99]  // result
</code></pre>

<p>But you can easily make it sort ok:</p>

<pre><code>[3,5,1,5,10,0,99,10,12].sort(function(a,b) {return parseInt(a) &gt; parseInt(b)})
[0, 1, 3, 5, 5, 10, 10, 12, 99] // result
</code></pre>"
40,2.0,2011-05-17 02:25:29.393000+00:00,"<p>I don't think that WPF is actually that hard. I think it's just that WPF definitely requires a slightly different way of thinking. You can tell that it was built with certain principles in mind (like MVVM, as another poster mentioned), and it's very different from most other frameworks. If you try to do it like you did Windows Forms or MFC or ASP.NET or whatever... you'll struggle. You need to be willing to change your mind on how things work.</p>

<p>Frankly, I think the only way to learn it is with experimentation. Come up with some side project to work on using WPF and try your hand at it. Learn a bit and refactor it. Get a good book, read the <a href=""http://groups.google.com/group/wpf-disciples/?pli=1"" rel=""nofollow noreferrer"">WPF disciples</a> list, read anything that <a href=""http://sachabarber.net/"" rel=""nofollow noreferrer"">Sacha Barber</a> writes, read the <a href=""https://stackoverflow.com/questions/tagged/wpf"">WPF section</a> here on SO.</p>

<p>When you have your first ""ah ha!"" moment where you decide to write an Attached Property to solve some obscure problem you're having, you'll know you've finally understood it :)</p>"
41,0.0,2013-03-06 08:26:55.957000+00:00,<p>What's the meaning to catch OutOfMemoryError and do some work in your catch block if your heap space or perm gen space is full? Actually You cannot guess where can this exception actually happen. There is no logic to catch this exception.</p>
42,1.0,2014-05-09 19:48:53.540000+00:00,"<pre><code>SELECT COL1, COL2, DATECOL
FROM TABLE
WHERE DATECOL &gt;= ADD_MONTHS (CURRENT_DATE -EXTRACT(DAY FROM CURRENT_DATE) + 1 , -1)
AND DATECOL &lt; CURRENT_DATE -EXTRACT(DAY FROM CURRENT_DATE) + 1
</code></pre>

<p>or you might just want to enter date</p>

<pre><code>&gt;=DATE '2014-05-01'
&lt; DATE '2014-04-01'
</code></pre>"
43,3.0,2010-11-09 02:09:42.907000+00:00,"<p>I think that when it comes down it, it it really depends on your target audience. If you know that your target audience is most likely to have JavaScript enabled, then so be it.</p>

<p>I have a situation at work, however, where I know that some of the people I develop for may be using old browsers and whether I like it or not, I cannot force them to upgrade.</p>

<p>You also want to consider allowing your site to be accessible to all platforms and browsers and this includes audio and text based browsers. It's possible that your site will be inaccessible to people with disabilities. </p>

<p>Whether that's important enough for you to develop a non-JavaScript version of your site, that's up to you.</p>"
44,4.0,2014-02-05 08:35:44.877000+00:00,"<p>There is no problem with the map projection, but the tiles are cut according the TMS notation (with tile [0,0] in the bottom left) in GDAL2Tiles.
Some tools expect the Google XYZ notation (with tile [0,0] in the upper left corner).
The tiles are otherwise equal, they have just flipped Y coordinate in the file name.</p>

<p>Have a look at this:</p>

<p><img src=""https://i.stack.imgur.com/c9WWw.png"" width=""256"" height=""256"" alt=""Google XYZ vs TMS - the flipped Y coordinates in map tiles""/></p>

<p>I prepared a website which shows visually the difference and also explains the problem. Have a look at:</p>

<p><a href=""http://www.maptiler.org/google-maps-coordinates-tile-bounds-projection/"" rel=""nofollow noreferrer"">http://www.maptiler.org/google-maps-coordinates-tile-bounds-projection/</a></p>

<p>There is also a source code for how the tiles and all coordinates are calculated. It is part of the GDAL2Tiles which you mentioned above - which is a code I created some years back.</p>

<p>Your second question is was about MBTiles. The mbutil utility has a parameter ""--scheme tms"" which allows to create the MBTiles file from tiles rendered with gdal2tiles.py.</p>

<p>GDAL reads just the KAP file, where each represents a map in the sheet (in case there are insets).</p>

<p>BTW Do you know that there is <a href=""http://www.maptiler.com/"" rel=""nofollow noreferrer"">http://www.maptiler.com/</a> which solves the problems mentioned above directly? You can just drag&amp;drop into the GUI or pass on the command line the KAP file as it is and choose whether you want tiles in directory or MBTiles and it will directly render the output. The tiles are directly optimised as well, there is support for rendering multiple input files into a single layer and rendering is of magnitude faster then with GDAL2Tiles. </p>"
45,3.0,2013-01-25 16:35:37.657000+00:00,"<p>This is NOT guaranteed. It is for a SortedDictionary&lt;>, of course, and also for arrays and lists. But NOT for a Dictionary.</p>

<p>Chances are, it will be stable if the dictionary is not changed - but it's just not guaranteed. You have to ask yourself - do you feel lucky? ;)</p>"
46,1.0,2009-06-10 03:53:47.430000+00:00,"<p>Check out <a href=""http://activescaffold.com/"" rel=""nofollow noreferrer"">http://activescaffold.com/</a>  and Streamlined -- <a href=""http://streamlinedframework.org/"" rel=""nofollow noreferrer"">http://streamlinedframework.org/</a>
both support nested models on a page.</p>

<p>Note that you probably need some training for your users. A 4 level deep model is not something that people run into every day.</p>"
47,0.0,2012-02-25 00:47:48.393000+00:00,"<pre><code>array( 'loc' =&gt; array( floatval($lon),  floatval($lat)))
</code></pre>"
48,0.0,2014-07-11 09:31:55.560000+00:00,"<p>You can redirect in <code>upload_complete_handler</code> like this</p>

<pre><code>upload_complete_handler: function (file) {
    var num = this.getStats().files_queued ; //num is the count of file in queue
    if(num == 0){
           window.location.href = 'http://url.you.want.to.redirect';
    } else {
        this.startUpload(); //next file in queue
    }
},
</code></pre>"
